Geburtsland in Wien gemeldeter Personen nach Geschlecht und Wiener Zaehlbezirk|Country of birth of residents in Vienna by sex and of Vienna subdistrict;;;;;;;;;;;;;
NUTS1;NUTS2;NUTS3;DISTRICT_CODE;SUB_DISTRICT_CODE;SEX;POP_TOTAL;POP_SCG;POP_TUR;POP_DEU;POP_POL;POP_BIH;POP_HRV;POP_ROU;POP_CZE;POP_HUN;POP_OTHER;POP_AUT;REF_DATE
AT1;AT13;AT130;90100;90101;2;2088;66;12;82;40;9;10;30;38;29;388;1384;20110101
AT1;AT13;AT130;90100;90102;2;863;23;0;38;17;8;4;17;9;19;184;544;20110101
AT1;AT13;AT130;90100;90103;2;1114;65;12;51;20;10;1;18;15;15;256;651;20110101
AT1;AT13;AT130;90100;90104;2;831;26;4;29;13;3;3;8;15;6;163;561;20110101
AT1;AT13;AT130;90100;90105;2;1127;34;6;40;14;2;10;15;15;13;201;777;20110101
AT1;AT13;AT130;90100;90106;2;1475;34;13;56;28;16;14;17;33;15;247;1002;20110101
AT1;AT13;AT130;90100;90107;2;1382;42;11;69;24;16;9;22;33;28;263;865;20110101
AT1;AT13;AT130;90200;90201;2;5044;262;238;79;139;113;32;56;69;45;698;3313;20110101
AT1;AT13;AT130;90200;90202;2;5600;609;319;151;143;158;36;130;61;53;779;3161;20110101
AT1;AT13;AT130;90200;90203;2;6553;378;159;253;127;108;42;109;95;67;910;4305;20110101
AT1;AT13;AT130;90200;90204;2;7524;440;193;262;145;144;41;137;71;107;1233;4751;20110101
AT1;AT13;AT130;90200;90205;2;4736;266;101;147;110;79;21;78;64;57;899;2914;20110101
AT1;AT13;AT130;90200;90206;2;3332;173;76;101;64;43;13;46;64;31;356;2365;20110101
AT1;AT13;AT130;90200;90207;2;6741;804;290;200;205;156;51;162;90;60;1239;3484;20110101
AT1;AT13;AT130;90200;90208;2;1070;55;19;17;16;10;3;4;17;8;111;810;20110101
AT1;AT13;AT130;90200;90209;2;8263;603;508;112;218;173;37;140;125;64;945;5338;20110101
AT1;AT13;AT130;90200;90299;2;46;6;4;0;2;0;1;2;0;0;6;25;20110101
AT1;AT13;AT130;90300;90301;2;5812;286;102;245;143;88;31;83;73;60;743;3958;20110101
AT1;AT13;AT130;90300;90302;2;4592;165;34;212;68;50;26;50;77;43;597;3270;20110101
AT1;AT13;AT130;90300;90303;2;3309;112;36;141;57;28;19;32;58;62;602;2162;20110101
AT1;AT13;AT130;90300;90304;2;5587;428;142;190;210;148;47;126;96;69;941;3190;20110101
AT1;AT13;AT130;90300;90305;2;4303;230;87;143;102;82;33;81;71;51;544;2879;20110101
AT1;AT13;AT130;90300;90306;2;7961;488;269;203;189;153;70;96;110;78;930;5375;20110101
AT1;AT13;AT130;90300;90307;2;2887;187;130;41;66;51;19;97;49;26;361;1860;20110101
AT1;AT13;AT130;90300;90308;2;862;14;1;30;9;3;2;6;24;7;68;698;20110101
AT1;AT13;AT130;90300;90309;2;4572;173;56;201;89;48;18;47;81;59;607;3193;20110101
AT1;AT13;AT130;90300;90310;2;3817;315;222;74;108;79;22;49;45;27;522;2354;20110101
AT1;AT13;AT130;90300;90311;2;1274;88;58;14;42;19;10;13;20;12;126;872;20110101
AT1;AT13;AT130;90400;90401;2;1220;40;20;54;23;18;14;17;15;17;290;712;20110101
AT1;AT13;AT130;90400;90402;2;5146;236;97;265;114;51;38;87;71;54;956;3177;20110101
AT1;AT13;AT130;90400;90403;2;6522;280;89;292;133;66;40;91;89;82;1055;4305;20110101
AT1;AT13;AT130;90400;90404;2;3643;157;81;139;71;55;24;52;52;44;528;2440;20110101
AT1;AT13;AT130;90500;90501;2;5868;313;127;270;126;87;28;77;68;57;684;4031;20110101
